0.50, 45.30, 40.77, 4.53
1.00, 50.10, 45.09, 5.01
1.50, 52.80, 47.52, 5.28
2.00, 54.00, 48.60, 5.40
2.50, 55.20, 49.68, 5.52
3.00, 56.10, 50.49, 5.61
3.50, 56.70, 51.03, 5.67
4.00, 57.20, 51.48, 5.72
4.50, 57.60, 51.84, 5.76
5.00, 57.90, 52.11, 5.79
5.50, 58.10, 52.29, 5.81
6.00, 58.30, 52.47, 5.83
6.50, 58.40, 52.56, 5.84
7.00, 58.50, 52.65, 5.85
7.50, 58.60, 52.74, 5.86
8.00, 58.60, 52.74, 5.86
8.50, 58.60, 52.74, 5.86
9.00, 58.60, 52.74, 5.86
9.50, 58.60, 52.74, 5.86
10.00, 58.50, 52.65, 5.85
10.50, 58.40, 52.56, 5.84
11.00, 58.30, 52.47, 5.83
11.50, 58.20, 52.38, 5.82
12.00, 58.10, 52.29, 5.81
12.50, 58.00, 52.20, 5.80
13.00, 57.90, 52.11, 5.79
13.50, 57.80, 52.02, 5.78
14.00, 57.70, 51.93, 5.77
14.50, 57.60, 51.84, 5.76
15.00, 57.50, 51.75, 5.75
15.50, 57.40, 51.66, 5.74
16.00, 57.30, 51.57, 5.73
16.50, 57.20, 51.48, 5.72
17.00, 57.10, 51.39, 5.71
17.50, 57.00, 51.30, 5.70
18.00, 56.90, 51.21, 5.69
18.50, 56.80, 51.12, 5.68
19.00, 56.70, 51.03, 5.67
19.50, 56.60, 50.94, 5.66
20.00, 56.50, 50.85, 5.65
